Date,Open,High,Low,Close,Volume
2024-04-10,2346.60009765625,2358.10009765625,2327.699951171875,2329.60009765625,377
2024-04-11,2341.5,2376.300048828125,2330.60009765625,2354.800048828125,283
2024-04-12,2377.300048828125,2429.0,2334.300048828125,2356.199951171875,584
2024-04-15,2362.10009765625,2384.699951171875,2326.0,2365.800048828125,1801
2024-04-16,2384.0,2390.800048828125,2371.39990234375,2390.800048828125,41
2024-04-17,2384.199951171875,2391.39990234375,2369.300048828125,2371.699951171875,37
2024-04-18,2368.39990234375,2384.39990234375,2368.39990234375,2382.300048828125,128
2024-04-19,2379.300048828125,2399.800048828125,2377.300048828125,2398.39990234375,160
2024-04-22,2383.300048828125,2383.300048828125,2326.89990234375,2332.199951171875,53
2024-04-23,2327.699951171875,2330.800048828125,2294.199951171875,2327.699951171875,171
2024-04-24,2321.300048828125,2328.699951171875,2314.60009765625,2324.5,95
2024-04-25,2315.0,2329.800048828125,2305.0,2329.800048828125,1024
2024-04-26,2347.89990234375,2347.89990234375,2332.800048828125,2334.800048828125,717
2024-04-29,2334.800048828125,2345.5,2327.89990234375,2345.39990234375,405
2024-04-30,2322.5,2322.5,2291.39990234375,2291.39990234375,113
2024-05-01,2287.699951171875,2327.300048828125,2283.800048828125,2299.89990234375,42
2024-05-02,2321.699951171875,2324.699951171875,2292.300048828125,2299.199951171875,56
2024-05-03,2300.0,2301.0,2277.60009765625,2299.0,194
2024-05-06,2322.800048828125,2325.5,2314.199951171875,2321.60009765625,9
2024-05-07,2324.300048828125,2324.300048828125,2315.199951171875,2315.199951171875,25
2024-05-08,2313.60009765625,2313.60009765625,2313.60009765625,2313.60009765625,4
2024-05-09,2310.699951171875,2339.5,2310.699951171875,2332.10009765625,5
2024-05-10,2367.300048828125,2367.300048828125,2367.300048828125,2367.300048828125,126
2024-05-13,2358.300048828125,2358.300048828125,2336.10009765625,2336.10009765625,14
2024-05-14,2336.0,2358.0,2336.0,2353.39990234375,6
2024-05-15,2361.60009765625,2388.699951171875,2356.0,2388.699951171875,29
2024-05-16,2389.5,2392.199951171875,2380.0,2380.0,7
2024-05-17,2380.699951171875,2415.800048828125,2380.699951171875,2412.199951171875,213
2024-05-20,2415.800048828125,2435.800048828125,2409.699951171875,2433.89990234375,40
2024-05-21,2429.5,2429.5,2421.0,2421.699951171875,6
2024-05-22,2417.5,2417.60009765625,2375.800048828125,2389.199951171875,180
2024-05-23,2371.199951171875,2371.199951171875,2335.0,2335.0,365
2024-05-24,2342.60009765625,2345.39990234375,2332.5,2332.5,25
2024-05-28,2336.89990234375,2359.699951171875,2336.89990234375,2355.199951171875,26
2024-05-29,2340.300048828125,2340.300048828125,2340.300048828125,2340.300048828125,119317
2024-05-30,2336.89990234375,2349.5,2320.800048828125,2342.89990234375,32587
2024-05-31,2344.10009765625,2354.0,2319.0,2322.89990234375,941
2024-06-03,2322.60009765625,2347.5,2312.0,2346.60009765625,781
2024-06-04,2347.5,2347.699951171875,2313.89990234375,2325.5,890
2024-06-05,2326.39990234375,2354.300048828125,2326.199951171875,2354.10009765625,295
2024-06-06,2355.0,2375.800048828125,2355.0,2370.300048828125,179
2024-06-07,2379.89990234375,2385.10009765625,2285.39990234375,2305.199951171875,269
2024-06-10,2290.60009765625,2309.300048828125,2290.5,2307.699951171875,269
2024-06-12,2340.89990234375,2341.300048828125,2323.800048828125,2325.199951171875,13214
